Authors,project_urls
mrdoob,https://github.com/topics/3d/mrdoob/three.js
pmndrs,https://github.com/topics/3d/pmndrs/react-three-fiber
libgdx,https://github.com/topics/3d/libgdx/libgdx
BabylonJS,https://github.com/topics/3d/BabylonJS/Babylon.js
ssloy,https://github.com/topics/3d/ssloy/tinyrenderer
aframevr,https://github.com/topics/3d/aframevr/aframe
lettier,https://github.com/topics/3d/lettier/3d-game-shaders-for-beginners
FreeCAD,https://github.com/topics/3d/FreeCAD/FreeCAD
CesiumGS,https://github.com/topics/3d/CesiumGS/cesium
metafizzy,https://github.com/topics/3d/metafizzy/zdog
timzhang642,https://github.com/topics/3d/timzhang642/3D-Machine-Learning
isl-org,https://github.com/topics/3d/isl-org/Open3D
blender,https://github.com/topics/3d/blender/blender
a1studmuffin,https://github.com/topics/3d/a1studmuffin/SpaceshipGenerator
domlysz,https://github.com/topics/3d/domlysz/BlenderGIS
FyroxEngine,https://github.com/topics/3d/FyroxEngine/Fyrox
openscad,https://github.com/topics/3d/openscad/openscad
google,https://github.com/topics/3d/google/model-viewer
spritejs,https://github.com/topics/3d/spritejs/spritejs
jagenjo,https://github.com/topics/3d/jagenjo/webglstudio.js
